listing_id;title;property_type;operation;price_eur;price_per_m2;area_m2;rooms;bathrooms;floor;has_elevator;district;neighborhood;full_address;locality;latitude;longitude;description;has_terrace;has_balcony;has_parking;has_air_conditioning;has_swimming_pool;has_garden;energy_cert;construction_year;condition;advertiser_name;advertiser_type;photo_count;is_new_development;url;scrape_date;scrape_timestamp
61739603896.106500;Piso en venta en Platja de Segur de Calafell;Piso;venta;194000.0;2984.62;65.0;3;1;;False;Calafell;Platja de Segur de Calafell;Platja de Segur de Calafell (Calafell);Calafell;41.194296249;1.613669383;Piso de 3 habitaciones ubicado en Segur de Calafell, a pocos pasos de la playa. Con un amplio balcón, cocina equipada, parking incluido y acceso a piscina comunitaria. Ideal para aquellos que buscan un hogar en muy buen estado y con todas las facilidades. Características del Inmueble: Ubicación: Segur de Calafell, a pocos pasos de la playa. Habitaciones: 3 espaciosas habitaciones. Balcón: Amplio balcón ideal para relajarse y disfrutar del clima. Cocina: Cocina equipada con un pequeño lavadero an...;False;False;False;False;True;False;;;;Estrada y Asociados;Agencia;26;False;https://www.pisos.com/comprar/piso-platja_de_segur_de_calafell43882-61739603896_106500/;2026-04-05;2026-04-05T13:30:21.054787
61720821869.100500;Piso en venta en Barri;Piso;venta;150000.0;1293.1;116.0;4;2;Bajo;False;La Ràpita;Zona Avinguda Catalunya;Zona Avinguda Catalunya (La Ràpita);La Ràpita;40.615605735;0.588084194;La Ràpita. Piso luminoso y acogedor, cuenta con 4 habitaciones ideales para toda la familia, 1 baño y 1 aseo para mayor comodidad, un espacioso comedor perfecto para disfrutar de agradables momentos juntos, una cocina equipada y funcional, y una encantadora terraza para relajarse al aire libre. Además, su ubicación céntrica te brinda fácil acceso a todo tipo de servicios: comercios, colegios, transporte público, zonas de ocio, y mucho más. ¡No pierdas la oportunidad de vivir en un lugar privileg...;True;False;False;False;False;False;G;Más de 50 años;;FINQUES EBRE MONT, S.L.U;Agencia;37;False;https://www.pisos.com/comprar/piso-zona_avinguda_catalunya-61720821869_100500/;2026-04-05;2026-04-05T13:30:21.710450
61741475309.106500;Chalet en venta en Riba-Roja D'Ebre;Chalet;venta;50000.0;297.62;168.0;4;2;;False;;Riba-Roja d'Ebre;Riba-Roja d'Ebre;Riba Roja D'ebre;41.250249345;0.485475801;Casa de pueblo en Riba - Roja d'Ebre zona Ruibera d´Ebre, 168 m. de superficie, 64 m. superficie parcela, 10 m2 de cocina (equipada), 25 m2 de comedor (amueblado y con balcon), 3 habitaciones dobles (amuebladas) y una habitación sencilla (amueblada), 2 baños (completo con bañera), un aseo (en habitación), propiedad De origen, cocina equipada, carpinteria interior de madera, orientación sur, suelo de gres, carpinteria exterior de madera. Ribarroja d´Ebre es una población a orillas del Rio Ebro, b...;False;False;False;False;False;False;;;;Morafinques PPAL;Agencia;31;False;https://www.pisos.com/comprar/chalet-riba_roja_ebre_centro_urbano-61741475309_106500/;2026-04-05;2026-04-05T13:30:22.154966
61745328156.106500;Chalet en venta en Batea;Chalet;venta;105000.0;777.78;135.0;3;1;;False;;Batea;Batea;Batea;41.0937641;0.3125938;Excelente Casa de campo en Batea, con 135 m2 construidos . en una finca rustica de superficie, 9148 m2 , tiene una cocina para montar de 22 m2 , un comedor sala de estar de unos 50 m2 , amueblado , con un hogar estufa de gran calidad que proporciona calor para toda la casa, tiene 3 habitaciones dobles, un baño (completo con plato de ducha y muebles), propiedad en Obra Nueva, carpintería interior de de madera maciza, orientación sur, suelo de gres porcelánico de gran calidad , carpintería exterio...;False;False;False;False;False;False;;;;Morafinques PPAL;Agencia;57;False;https://www.pisos.com/comprar/chalet-batea_centro_urbano-61745328156_106500/;2026-04-05;2026-04-05T13:30:22.855936
61730221973.106500;Chalet en venta en Ascó;Chalet;venta;120000.0;472.44;254.0;4;2;;False;;Ascó;Ascó;Ascó;41.181451826;0.566030527;Gran Casa en Asco zona Ribera d´Ebre, vista a dos calles, 254 m. de superficie construida, 111 m. superficie parcela, 15 m2 de cocina (equipada), 25 m2 de comedor (amueblado), 20 m2 de terraza, 40 m. de la playa (minutos), 4 habitaciones dobles (amueblados), 2 baños (completos con ducha), un aseo (completo), propiedad para Entrar a vivir, cocina equipada, carpinteria interior de madera, orientación sur, suelo de gres, carpinteria exterior de aluminio rotura puente térmico. Extras: balcon, buhard...;False;False;False;False;False;False;;;;Morafinques PPAL;Agencia;59;False;https://www.pisos.com/comprar/chalet-asco_centro_urbano-61730221973_106500/;2026-04-05;2026-04-05T13:30:23.605394
61752926016.106500;Casa rústica en venta en Tivissa;Casa;venta;350000.0;1590.91;220.0;5;2;;False;;Tivissa;Tivissa;Tivissa;41.0418797;0.7326729;Finca rústica en Tivissa (Ribera d´Ebre) zona Plana Solé o Burgans, 220 m. de superficie de vivienda con cedula de habitabilidad, 82800 m. superficie de terreno, plantada de olivos , 15 m2 de cocina (equipada), 30 m2 de comedor, 12 m2 de terraza, 25 m. de la playa (minutos), 3 habitaciones dobles y 2 habitaciones sencillas, 2 baños (completos uno con b añera y otro con ducha), carpinteria interior de madera, orientación sur, suelo cerámico, carpintería exterior de climalit . Existen en la finca ...;False;False;False;False;False;False;;;;Morafinques PPAL;Agencia;61;False;https://www.pisos.com/comprar/casa_rustica-tivissa_centro_urbano-61752926016_106500/;2026-04-05;2026-04-05T13:30:24.320252
61723918512.106500;Chalet en venta en Gratallops;Chalet;venta;210000.0;1166.67;180.0;6;3;;False;;Gratallops;Gratallops;Gratallops;41.19256665;0.774795765;Gran casa de pueblo en Gratallops (Priorat) de 180 m2, ubicada en el centro de la población en una amplia calle. Esta distribuida en tres plantas. En planta baja un amplio recibidor que da paso a un gran comedor-sala de estar con cocina abierta integrada y una chimenea, un aseo completo y un acceso a un garaje contiguo con espacio para un coche grande que dispone además de zona de lavadero y servicios. En la planta primera a la que se accede por una amplia escalera dispone de 2 habitaciones dobl...;False;False;False;False;False;False;;;;Morafinques PPAL;Agencia;60;False;https://www.pisos.com/comprar/chalet-gratallops_centro_urbano-61723918512_106500/;2026-04-05;2026-04-05T13:30:25.050060
61683677467.106500;Casa rústica en venta en Garcia;Casa;venta;250000.0;1515.15;165.0;3;2;;False;;Garcia;Garcia;Garcia;41.135992165;0.651753134;Casa rústeica en finca residencial de 0,7 has. totalmente vallada, en partida Els Plans de Mora la Nova (Termino municipal de García en la Ribera d´Ebre). Tiene su acceso por un camino asfaltado desde la -N 420( a un minuto de automóvil de todos los servicios). En su interior existe una vivienda unifamiliar de unos 100 m2.muy luminosa. Esta distribuida por un amplio comedor, cocina super equipada, dos baños completos con ducha y mampara (uno en suite), tres habitaciones con armarios empotrados ,...;False;False;False;False;False;True;;;;Morafinques PPAL;Agencia;86;False;https://www.pisos.com/comprar/casa_rustica-garcia_centro_urbano-61683677467_106500/;2026-04-05;2026-04-05T13:30:25.689824
51720352510.108900;Finca rústica en venta en Calle Paratge Sorrell, Número 3;Casa;venta;1100000.0;2075.47;530.0;5;2;;False;Palafrugell;Àrea Rural;Àrea Rural (Palafrugell);Palafrugell;41.90813678229023;3.161752303903854;La finca se compone de una encantadora masía principal con 530 m² de superficie construida, complementada por diversas edificaciones como una nave agrícola y cobertizos, todo ello en una parcela de más de 20.000 m². Con una restauración adecuada, esta finca puede transformarse en un espacio verdaderamente espectacular, combinando el encanto histórico con las comodidades modernas. El terreno se distingue por su entorno natural, con encinas, campo de cultivo, un antiguo molino y un lavadero con po...;True;False;True;False;True;False;G;;;I-VEO SYNERGY;Agencia;41;False;https://www.pisos.com/comprar/finca_rustica-area_rural17200-51720352510_108900/;2026-04-05;2026-04-05T13:30:26.473878
52565866952.105900;Piso en venta en Carrer de Montblanc;Piso;venta;141360.0;1442.45;98.0;3;2;;False;Blanes;Mas Florit-Ca la Guidó-Mas Cremat;Mas Florit-Ca la Guidó-Mas Cremat (Blanes);Blanes;41.6802;2.77783;Piso en Blanes, Gerona, idóneo para familias. La vivienda cuenta con una superficie de 98 m² construidos distribuidos en tres habitaciones, salón-comedor, cocina y dos aseos. Está ubicado en el corazón de Blanes, en sus alrededores encontramos la Escola Pública Mossèn Joan Batlle, supermercados, bancos, farmacias y centros deportivos. Cuenta con fácil acceso a GI-682. Oportunidad de inversión: inmueble ocupado. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y la...;False;False;False;False;False;False;;;;Aliseda Inmobiliaria;Agencia;26;False;https://www.pisos.com/comprar/piso-mas_florit_ca_la_guido_mas_cremat-52565866952_105900/;2026-04-05;2026-04-05T13:30:27.062570
52571022227.107000;Piso en venta en Carrer de Víctor Català;Piso;venta;84550.0;805.24;105.0;3;1;;True;Figueres;Creu de la Mà-Rally Sud;Creu de la Mà-Rally Sud (Figueres);Figueres;42.2625;2.9637;Piso en Figueres, Girona. Dispone de una superficie de 84 metros distribuidos en 3 habitaciones, un espacioso salón-comedor, cocina con acceso al lavadero, 1 baño y una terraza. La vivienda dispone de armarios empotrados que facilitan el almacenaje. Edificio con ascensor. En sus inmediaciones tiene un instituto público, un centro de salud, servicios y establecimientos comerciales. Como accesos principales tiene la N-IIa y la estación de tren de Figueres . En Aliseda Inmobiliaria tenemos la mayor...;False;False;False;False;False;False;;;;Aliseda Inmobiliaria;Agencia;23;False;https://www.pisos.com/comprar/piso-creu_de_la_ma_rally_sud-52571022227_107000/;2026-04-05;2026-04-05T13:30:27.673637
